关卡ID	章ID	关卡名称	BOSS类型	体力消耗数量	每日限制攻打成功次数	胜利后奖励经验	胜利后奖励银两	掉落物品	关卡NPC	建议等级	关卡剧情	头像路径
1403	14	弗兰奇一家	0	1	999	971	1942	0	1403	31	经过询问才知道，这货小偷是当地赫赫有名的弗兰奇一家的成员，经常做些偷鸡摸狗的事情。	members/head_char_shangjinlieren2.png
1404	14	消失的皮箱	0	1	999	975	1950	0	1404	31	沉浸在讨论如何修复梅利号的问题之中，突然发现有两箱子贝里不见了……	members/head_char_shangjinlieren2.png
1405	14	被绑架了	0	1	999	981	1962	0	1405	31	原来乌索普被弗兰奇一家绑架了，他奋力抵抗，仍然没有夺回被抢走的贝里，还被打成了重伤。	members/head_char_shangjinlieren2.png
1406	14	改造人	1	1	10	1150	2300	41000_66_1,50000_26_1	1406	32	终于抢回了贝里，这群家伙的老大弗兰奇回来后，勃然大怒，亲自前来挑战了。	members/head_char_shangjinlieren2.png
1407	14	栽赃嫁祸	0	1	999	990	1980	0	1407	32	好不容易解决了与弗兰奇的纠纷，却遭到市政部门发出的通缉令，怎么会变成袭击市长的嫌犯？	members/head_char_gongren.png
1408	14	询问真相	0	1	999	995	1990	0	1408	32	为了调查清楚事情的真相，洗脱自己的嫌疑，半夜悄悄闯入市长居所，当面问个清楚吧。	members/head_char_bali.png
1409	14	背叛？！	0	1	999	1001	2002	0	1409	32	好大的房子，不知不觉已经迷路了，还引来了一堆船工的追击，快跑！	members/head_char_gongren.png
1410	14	暗杀之夜	0	1	999	1003	2006	0	1410	32	在与船工纠缠的时候，突然传来巨大的响动，顺着声音前行吧，看看发生了什么事情。	members/head_char_gongren.png
1411	14	神秘组织	0	1	999	1004	2008	0	1411	32	赶到市长所在的卧室，发现了一伙披着斗篷的神秘黑衣人，或许他们就是幕后元凶，拦住他们。	members/head_char_gongren.png
1412	14	真面目	1	1	10	1173	2346	50000_59_1	1412	33	市长身边一直非常信任的伙伴，竟是海军政府秘密组织CP9的成员，他们导演了这次刺杀。	members/head_char_bulunuo.png
1413	14	上古兵器	1	1	10	1177	2354	50000_28_1,50000_56_1	1413	33	为了拿到冥王设计图，他们花费几年时间潜藏在水之都，获得市长信任，终于在今天露出獠牙。	members/head_char_kalifa.png
1414	14	设计图	1	1	10	1190	2380	41000_50_1,50000_23_1	1414	33	发现设计图是假的，推断出真正的设计图在弗兰奇那里。CP9们开始奔赴弗兰奇所在的地点。	members/head_char_kaku.png
1415	14	猫猫果实	1	1	10	1205	2410	50000_52_1,41000_63_1	1415	33	得知弗兰奇是托姆的弟子，掌握着冥王设计图纸，CP9们决定将他一起带回大本营慢慢审问。	members/head_char_bulunuo.png
1416	14	劫持	2	1	5	1393	2786	50000_12_1,50000_59_1	1416	34	尽管知道了对方的阴谋，也明白了罗宾的苦衷，最终还是晚了一步。	members/head_char_luqi.png
1501	15	孤身追踪	0	1	999	1056	2112	0	1501	34	在船上的香吉士，挂念着罗宾的安危，开始一个人展开了营救行动。	members/head_char_heiyi1.png
1502	15	通讯室	0	1	999	1069	2138	0	1502	34	到达通讯室，意外发现了被绑在此处的弗兰奇和乌索普，先救他们出来吧。	members/head_char_jieli.png
1503	15	营救计划	0	1	999	1081	2162	0	1503	34	三人经过商议，决定先去营救罗宾，然后再想办法离开这里……	members/head_char_heiyi1.png
1504	15	开始行动	0	1	999	1093	2186	0	1504	34	计划已定，大家开始分头行动，先去把敌人引过来，按照计划将他们……	members/head_char_heiyi1.png
1505	15	诱敌深入	0	1	999	1106	2212	0	1505	34	越来越多的敌人发现了入侵者，开始朝着最后一节车厢奔来，将他们一网打尽吧。	members/head_char_heiyi1.png
1506	15	车厢脱节	1	1	10	1303	2606	50000_29_1,50000_53_1	1506	35	当所有的人赶到最后一节车厢时，抵挡住他们的首领本恩上校，就可以顺利执行计划了！	members/head_char_benen.png
1507	15	敌人增援	0	1	999	1131	2262	0	1507	35	将最后一节车厢的海军们封闭在那里，并且断开与前几节车厢的连接后，可以跟他们说再见啦！	members/head_char_heiyi2.png
1508	15	车厢混战1	0	1	999	1142	2284	0	1508	35	仍然还有许多海军在其他的车厢，可不能放松，继续前进吧。	members/head_char_heiyi2.png
1509	15	车厢混战2	0	1	999	1155	2310	0	1509	35	果然不出所料，更多的海军开始拥过来，战局越乱越好，这样才能吸引敌人的注意力。	members/head_char_heiyi2.png
1510	15	车厢混战3	0	1	999	1168	2336	0	1510	35	似乎看到下一节车厢了，摆平这些家伙，就可以通过了。	members/head_char_heiyi2.png
1511	15	第五节车厢	0	1	999	1181	2362	0	1511	35	来到第五节车厢，怎么看起来像是厨房？还有个推餐车的奇怪家伙。	members/head_char_heiyi2.png
1512	15	料理格斗家	1	1	10	1392	2784	41000_70_1,50000_28_1	1512	35	要面条么？真是恶心的制作方法，赶紧将这个讨厌的家伙打飞吧。	members/head_char_wajie.png
1513	15	海鼬尼罗	1	1	10	1419	2838	41000_68_1	1513	35	又来了一个家伙，貌似是名新人，并不怎么厉害的样子。	members/head_char_nailuo.png
1514	15	割裂车厢	1	1	10	1446	2892	41000_67_1,50000_54_1	1514	35	终于来到CP9主要成员所在的车厢，趁着他们不注意，绕到后面把车厢切断吧。	members/head_char_kaku.png
1515	15	被拉回来了	1	1	10	1476	2952	41000_68_1,50000_18_1	1515	35	糟糕，割裂的车厢竟然被荆棘鞭拉回来了，只有与他们正面冲突了。	members/head_char_kalifa.png
1516	15	空气门	2	1	5	1719	3438	50000_47_1,50000_27_1	1516	36	这家伙什么时候绕到背后的，一点感觉都没有，太危险了。不过罗宾就在眼前，一定要救她走！	members/head_char_bulunuo.png
1601	16	不夜岛	0	1	999	1315	2630	0	1601	36	眼前就是司法岛了，这座被称作不夜之地的海岛，是海军秘密部队的大本营。	members/head_char_haijun3.png
1602	16	主岛正门	0	1	999	1319	2638	0	1602	36	望着矗立在海岛前的大门，这就是通往中央广场的唯一途径，准备好战斗了么？	members/head_char_haijun3.png
1603	16	跨越栅栏	0	1	999	1322	2644	0	1603	36	好大的铁栅栏，打开一道缺口，冲进去吧。	members/head_char_haijun3.png
1604	16	主岛前门	0	1	999	1327	2654	0	1604	36	来到司法岛的前门，一群卫兵把守在次，击败他们。	members/head_char_haijun3.png
1605	16	独自突围	0	1	999	1331	2662	0	1605	36	前来的帮忙的伙伴们被阻挡在了门外，但时间紧迫，独自越过栅栏，先进去为他人开路吧。	members/head_char_haijun3.png
1606	16	巨人门卫	1	1	10	1556	3112	41000_68_1	1606	37	来到门前，有两个巨人挡住了去路。不要纠缠，越过他们继续前进吧。	members/head_char_kaxi.png
1607	16	进入主岛	0	1	999	1337	2674	0	1607	37	打败守卫进入了主岛，又迎来一大批CP9成员的围追堵截。	members/head_char_zhudaoshouwei.png
1608	16	勇往直前	0	1	999	1342	2684	0	1608	37	这些家伙还真是难缠，有种打不完的感觉。	members/head_char_langgoubudui.png
1609	16	冲破大门	0	1	999	1345	2690	0	1609	37	终于冲破重重险阻，成功打开了大门，后面的伙伴可以更快的冲进来了。	members/head_char_zhudaoshouwei.png
1610	16	倒戈相向	0	1	999	1378	2756	0	1610	37	跟上来的伙伴们似乎认识守门的巨人，策反他们，一起帮助进攻司法岛。	members/head_char_langgoubudui.png
1611	16	主岛法院	0	1	999	1410	2820	0	1611	37	进入主岛法院，好大的院子啊，可是之后要怎么走呢？	members/head_char_langgoubudui.png
1612	16	大法官	1	1	10	1661	3322	41000_52_1,50000_52_1	1612	37	混乱引来了司法岛的大法官。好厉害，竟然长了三个脑袋！	members/head_char_basikabier.png
1613	16	一分为三	1	1	10	1678	3356	41000_69_1,50000_22_1	1613	37	原来只是三个人穿着一个大袍子，装作三个头的骗子……	members/head_char_basikabier.png
1614	16	法院楼顶	1	1	10	1695	3390	50000_21_1,41000_70_1	1614	38	爬上了法院的楼顶，似乎看到司法塔了，罗宾就在那里吧。	members/head_char_bulunuo.png
1615	16	奥哈拉梦魇	1	1	10	1710	3420	41000_58_1	1615	38	站在司法塔上的罗宾，慢慢道出了20年前政府对奥哈拉发动屠魔令的事情……	members/head_char_zhongjiang.png
1616	16	向世界宣战	2	1	5	1973	3946	41000_38_1	1616	39	终于了解到罗宾背负的东西，那就打掉政府旗帜，驱除纠缠着她的梦魇，向整个世界宣战吧！	members/head_char_qizhi.png
1701	17	飞向瀑布	0	1	999	1487	2974	0	1701	39	越过前面的瀑布沟壑，就可以到达司法塔了。	members/head_char_heiyi1.png
1702	17	司法塔	0	1	999	1495	2990	0	1702	39	来到司法塔下，斯潘达姆见势不妙，押着罗宾先行逃跑了，快追！	members/head_char_heiyi1.png
1703	17	塔内迷宫	0	1	999	1501	3002	0	1703	39	这个塔仿佛一座巨大的迷宫，对于路痴来说，实在是……	members/head_char_heiyi1.png
1704	17	上楼下楼	0	1	999	1509	3018	0	1704	39	上上下下，也不知道绕过了多少弯路，还是找不到出口。	members/head_char_heiyi1.png
1705	17	兵分多路	0	1	999	1517	3034	0	1705	39	看来只有分头行动了，各自对付前方的敌人，要小心！	members/head_char_heiyi1.png
1706	17	坚固大门	1	1	10	1778	3556	41000_66_1,41000_59_1	1706	40	好坚固的大门，看来这里应该就是出口了，打破它！	members/head_char_damen.png
1707	17	海底通道	0	1	999	1531	3062	0	1707	40	这个奇怪的通道是建在海底下的么，好厉害啊。	members/head_char_zhudaoshouwei.png
1708	17	踟蹰之桥	0	1	999	1537	3074	0	1708	40	来到踟蹰之桥，又碰到之前的三头法官，真是阴魂不散。	members/head_char_basikabier.png
1709	17	手抖了	0	1	999	1545	3090	0	1709	40	与此同时，押送罗宾逃走的斯潘达姆，不小心按下了发动屠魔令的按钮……	members/head_char_zhudaoshouwei.png
1710	17	屠魔令发动	0	1	999	1553	3106	0	1710	40	海军本部收到了屠魔令发动的新号，开始出动大批军舰和海军向司法岛驶来。	members/head_char_langgoubudui.png
1711	17	正义之门	0	1	999	1567	3134	0	1711	40	通过了正义之门，就要追上罗宾了，却迎来了CP9主力成员们的阻击。	members/head_char_langgoubudui.png
1712	17	狩猎猫头鹰	1	1	10	1846	3692	41000_63_1	1712	40	好奇怪的家伙，嘴巴像一个拉链，好像是一头猫头鹰啊……	members/head_char_maotouying.png
1713	17	生命归还	1	1	10	1864	3728	50000_58_1,41000_58_1	1713	40	这个像是歌舞伎的家伙，也是CP9的成员么，真是一群古怪的组合。	members/head_char_weiqu.png
1714	17	泡泡大战	1	1	10	1881	3762	50000_26_1,41000_52_1	1714	40	这不是在水之七都见到的市长秘书么，竟然也成了恶魔果实能力者。	members/head_char_kalifa.png
1715	17	厨师阿修罗	1	1	10	1899	3798	41000_58_1	1715	40	面前的这两个人，应该是里面最难缠的角色了吧，前面也已经能看到鸽子男了，找准自己的对手进攻吧。	members/head_char_jiabula.png
1716	17	决战之桥	2	1	5	2187	4374	41000_44_1	1716	41	用尽全力击败鸽子男，身体已经动不了了，而海军的火炮已经瞄准了这里，快想办法！	members/head_char_luqi.png
1801	18	魔鬼海域	0	1	999	1653	3306	0	1801	41	好大的雾气，整个海域充满着诡异的气氛，真可怕。	members/head_char_elong.png
1802	18	奇怪木桶	0	1	999	1666	3332	0	1802	41	哇，一只木桶，快捞起来，里面会不会装着财宝？	members/head_char_elong.png
1803	18	信号弹？！	0	1	999	1679	3358	0	1803	41	打开木桶之后，没有美酒或者财宝，只是有一束烟花冲天而起。	members/head_char_elong.png
1804	18	幽灵船	0	1	999	1693	3386	0	1804	41	好大的船，怎么会有歌声，这里有一个骷髅，而且竟然在走路，在唱歌！	members/head_char_kuloubing.png
1805	18	被盯上了	0	1	999	1706	3412	0	1805	41	从这个叫布鲁克的骷髅口中得知，之前的烟花是一个陷阱，你们已经被敌人盯上了。	members/head_char_kuloubing.png
1806	18	幽灵岛	1	1	10	2013	4026	50000_57_1,50000_22_1	1806	42	登上面前这座被称为幽灵岛的小岛，不知道是不是真的会有幽灵……	members/head_char_diyuquan.png
1807	18	幽灵马车	0	1	999	1747	3494	0	1807	42	果然有幽灵啊，竟然还是拉马车的。车上出来一个怪人。	members/head_char_jiangshi1.png
1808	18	医生公馆	0	1	999	1768	3536	0	1808	42	想不到在这里竟然能碰到著名的外科医生霍古巴克，这座公馆就是他的医学实验室，只是处处透着诡异。	members/head_char_jiangshi1.png
1809	18	透明骚扰	0	1	999	1790	3580	0	1809	42	突然听到一声尖叫，似乎是正在洗澡的娜美遭到了袭击！	members/head_char_jiangshi2.png
1810	18	研究室	0	1	999	1807	3614	0	1810	42	为了追击透明怪人，不小心闯入了严禁入内的实验室，医生的秘密被发现了。	members/head_char_jiangshi2.png
1811	18	夜袭开始	0	1	999	1823	3646	0	1811	42	一群群的僵尸与幽灵，组成庞大的军队，即将展开夜袭，赶快逃离这里。	members/head_char_jiangshi2.png
1812	18	外科医生	1	1	10	2147	4294	50000_24_1,41000_70_1	1812	43	原来霍古巴克医生是莫利亚手下的三怪人之一，利用高超的医术制造了僵尸大军。	members/head_char_huogubake.png
1813	18	梦幻庭院	1	1	10	2168	4336	41000_52_1,41000_58_1	1813	43	边打边逃，进入了一个美丽的花园，只可惜里面依旧充斥着各种怪物。	members/head_char_peiluona.png
1814	18	死亡墓园	1	1	10	2189	4378	50000_57_1,41000_70_1	1814	43	为了营救被掳走的娜美，来到一座墓园，发现透明人正打算与昏睡的娜美成婚，快阻止他。	members/head_char_aozi.png
1815	18	魔人战士	1	1	10	2206	4412	50000_28_1,50000_56_1	1815	43	击败了阿布萨罗姆，又碰到了身材巨大的魔人战士奥兹，真是个难缠的家伙。	members/head_char_aozi.png
1816	18	影子集合地	2	1	5	2540	5080	50000_13_1,50000_12_1	1816	44	为了夺回大家被夺取的影子，向影子集合地进发，打败月光莫利亚吧。	members/head_char_moliya.png
1901	19	人鱼小姐	0	1	999	1920	3840	0	1901	44	终于再次见到了红土大陆，伟大航路的旅程已经行进了一半，大家也都有了巨大的成长，真是激动人心。	members/head_char_feiyuqishi1.png
1902	19	章鱼烧	0	1	999	1935	3870	0	1902	44	从海兔口中救下了一名叫做凯米的鱼人少女，盛情邀请大家前往她所在的小店品尝章鱼烧。	members/head_char_feiyuqishi1.png
1903	19	解救人质	0	1	999	1951	3902	0	1903	44	到达章鱼烧店的时候，才发现店的老板兼主厨，已经被绑走了。	members/head_char_feiyuqishi1.png
1904	19	是你？！	0	1	999	1965	3930	0	1904	44	前往营救章鱼烧老板时，才发现他竟然就是阿龙手下的鱼人剑客小八。	members/head_char_feiyuqishi1.png
1905	19	章鱼小八	0	1	999	1989	3978	0	1905	44	经过一阵思想斗争，终究还是无法抵御章鱼烧的诱惑，那么化敌为友，救他出来吧。	members/head_char_feiyuqishi2.png
1906	19	帅哥团长	1	1	10	2347	4694	41000_50_1,50000_21_1	1906	45	大打出手之后，发现飞鱼骑士海贼团的团长，竟然是被误认为是香吉士，画到通缉令上的倒霉蛋。	members/head_char_dibalu.png
1907	19	夏波蒂公园	0	1	999	2035	4070	0	1907	45	在成功解决绑架事件之后，为了将凯米送回人鱼岛，来到夏波蒂公园。	members/head_char_tianlongren1.png
1908	19	嚣张贵族	0	1	999	2060	4120	0	1908	45	在这片岛屿上，发现了被称为贵族的天龙人，这是一群极度嚣张的家伙。	members/head_char_tianlongren1.png
1909	19	凯米被抓	0	1	999	2080	4160	0	1909	45	一不留神，凯米被绑架了，到底是谁抓走了她？	members/head_char_tianlongren2.png
1910	19	人贩生意	0	1	999	2099	4198	0	1910	45	经过调查发现，这座岛上盛行着人贩生意，或许他们就是凶手。	members/head_char_tianlongren2.png
1911	19	大闹拍卖场	0	1	999	2119	4238	0	1911	45	果然在人贩拍卖场，发现了被囚禁起来当做拍卖品的凯米，救她出来吧。	members/head_char_tianlongren3.png
1912	19	大熊？	1	1	10	2496	4992	50000_52_1,41000_63_1	1912	46	在大闹拍卖场之后，再次碰到了熊，想不到竟然会追到这里来。	members/head_char_px.png
1913	19	改造人	1	1	10	2519	5038	50000_12_1,50000_51_1	1913	46	怎么会又出来一个熊？难道这些都不是本尊，而是政府制造的机器人么？	members/head_char_px.png
1914	19	最强防御	1	1	10	2537	5074	50000_23_1,50000_55_1	1914	46	在与和平主义者纠缠的过程中，又有一个拿着巨大斧头的家伙加入战局，他自称是海军中拥有最强防御的人。	members/head_char_zhantaowan.png
1915	19	致命打击	1	1	10	2558	5116	50000_20_1	1915	46	这次的熊应该是本人了，他的强大毋庸置疑，尽力抵挡吧。	members/head_char_xiong.png
1916	19	闪光人	2	1	5	2945	5890	41000_50_1,41000_61_1	1916	47	想不到海军政府这次竟然派出了三大将之一的黄猿，前来执行抓捕任务，这次危险了。	members/head_char_huangyuan.png
2001	20	飞落岛屿	0	1	999	2226	4452	0	2001	47	站起来，去岛上四处逛逛吧，先找些吃的东西填饱肚子。	members/head_char_nvzhanshi1.png
2002	20	奇异蘑菇	0	1	999	2245	4490	0	2002	47	发现一堆奇怪的蘑菇，这下子有东西吃了……啊，为什么吃完之后浑身开始长蘑菇了，头好晕……	members/head_char_nvzhanshi1.png
2003	20	屋顶逃出	0	1	999	2262	4524	0	2003	47	醒来发现身上的蘑菇都消失了，但是却被关在了一间屋子里，外面全是女人。	members/head_char_nvzhanshi1.png
2004	20	丛林追踪	0	1	999	2289	4578	0	2004	47	不能呆在这里，还要去寻找伙伴，以及打探艾斯的消息，打破房顶逃出去吧。	members/head_char_nvzhanshi1.png
2005	20	丛林追踪2	0	1	999	2316	4632	0	2005	47	后面的女战士依旧紧追不舍，跟着你来到了丛林中。	members/head_char_nvzhanshi1.png
2006	20	政府威胁	1	1	10	2733	5466	50000_52_1	2006	48	与此同时，岛外似乎来了一艘海军军舰，中将鼯鼠就在上面……	members/head_char_haijun2.png
2007	20	女帝归来	0	1	999	2371	4742	0	2007	48	岛上欢声雷动，听说是她们的女王回来了，去看看吧，或许可以要一艘船出海。	members/head_char_nvzhanshi2.png
2008	20	九蛇城	0	1	999	2393	4786	0	2008	48	重新回到城中，要避开四周的女战士，悄悄接近才行。	members/head_char_nvzhanshi2.png
2009	20	入浴	0	1	999	2415	4830	0	2009	48	不好，飞过头了，竟然跌落到浴池里了。咦，那里似乎有人在洗澡……	members/head_char_nvzhanshi2.png
2010	20	背后印记	0	1	999	2437	4874	0	2010	48	背后的印记被发现之后，女人发飙了，开始指挥众人对你展开追捕。	members/head_char_nvzhanshi2.png
2011	20	重新拘捕	0	1	999	2459	4918	0	2011	48	啊，这是什么，不是铅弹呀……	members/head_char_nvzhanshi2.png
2012	20	追究责任	1	1	10	2897	5794	50000_19_1	2012	49	最终还是失手被擒，被一众女兵押到了广场，与这名女王大人似乎是没法沟通呢。	members/head_char_nvzhanshi2.png
2013	20	刽子手	1	1	10	2995	5990	50000_49_1,50000_21_1	2013	49	要施行惩罚了，判决是——死刑，执行者竟然是一头黑色的大豹子。	members/head_char_bakoula.png
2014	20	竞技台	1	1	10	3097	6194	41000_68_1,41000_63_1	2014	49	轻易解决了豹子，女王决定派出手下的两个姐妹亲自行刑。	members/head_char_boyasangdasuoniya.png
2015	20	王者资质	1	1	10	3203	6406	50000_59_1	2015	49	他们为什么不动了，站着挨打么？那就不客气了。	members/head_char_boyamaligelude.png
2016	20	致命之疾	2	1	5	3785	7570	41000_58_1,50000_18_1	2016	50	被打出去的蛇人姐妹，后背的秘密要被发现了，现在的你会如何选择？	members/head_char_hankuke.png
2101	21	大监狱	0	1	999	2935	5870	0	2101	50	前面就是深海监狱的入口了，藏在汉库克的长袍里，一起进去吧。	members/head_char_jianyushouwei.png
2102	21	正义之门	0	1	999	3035	6070	0	2102	50	大门两侧站满了卫兵，看来这里防守非常严密。	members/head_char_jianyushouwei.png
2103	21	检查室	0	1	999	3138	6276	0	2103	50	进入监狱里，必须先在检查室接受搜身检查，才能继续前进，看来不能继续藏下去了。	members/head_char_jianyushouwei.png
2104	21	蒙混过关	0	1	999	3244	6488	0	2104	50	利用汉库克的石化能力，迅速离开检查室，接下来只能孤身前进了。	members/head_char_jianyushouwei.png
2105	21	进入监狱	0	1	999	3355	6710	0	2105	50	终于进到牢房里，快打探艾斯的下落吧，小心那些看守监狱的狱卒。	members/head_char_nvjianyushouwei.png
2106	21	再遇巴基	1	1	10	4048	8096	50000_18_1	2106	51	来到第一层，突然发现前面有一阵骚乱，这不是巴基么，他也被关在这里？	members/head_char_lanxing.png
2107	21	红莲地狱	0	1	999	3502	7004	0	2107	51	与巴基一起冲开前来追捕的狱卒，他答应带你去前往下一层监狱的入口处。	members/head_char_yuzushou.png
2108	21	猛兽地狱	0	1	999	3534	7068	0	2108	51	来到监狱第二层，这里的守卫全是各种奇怪的猛兽，应该是政府军使用特殊的技术制造出来的。	members/head_char_yuzushou.png
2109	21	饥饿地狱	0	1	999	3568	7136	0	2109	51	在混乱中，从第二层跌进了第三层，竟然意外的碰到了小冯！救他出去吧。	members/head_char_yuzushou.png
2110	21	焦热地狱	0	1	999	3601	7202	0	2110	51	在小冯的帮助下，顺利来到第四层，这里就是署长麦哲伦的办公室了。	members/head_char_yuzushou.png
2111	21	狱长室	0	1	999	3634	7268	0	2111	51	在署长办公室，充斥着炎热与毒气，还有个巨大的……马桶……	members/head_char_yuzushou.png
2112	21	初次交锋	1	1	10	4265	8530	41000_50_1,41000_66_1	2112	51	打斗声终于惊动了狱长，这个全身都是剧毒的毒毒果实能力者，是令整个监狱都为之颤抖的存在。	members/head_char_maizhelun.png
2113	21	打破看守室	1	1	10	4290	8580	41000_29_1	2113	51	经过一番苦战，败下阵来，并且身中剧毒，还好被伊万科夫以毒攻毒保住了性命，现在要重新杀回去！	members/head_char_xiniu.png
2114	21	冲出监狱	1	1	10	4316	8632	41000_52_1	2114	51	在大家的共同努力下，顺利冲出了监狱，与闻讯赶来的狱卒长展开了交锋。	members/head_char_sadi.png
2115	21	副监狱长	1	1	10	4339	8678	41000_52_1	2115	51	汉尼拔副署长也赶来了，不过怎么看这家伙都是一副不禁打的样子。	members/head_char_hanniba.png
2116	21	自由世界	2	1	5	4989	9978	50000_58_1,41000_50_1	2116	52	再次遇到麦哲伦，阻挡他直到大家顺利离开就可以了。只是所有人都上了船，谁去打开监狱大门呢？	members/head_char_maizhelun.png
2201	22	驶向总部	0	1	999	3763	7526	0	2201	52	距离艾斯被处刑时间只剩不到3个小时，处刑地点海军本部玛林梵多，加速驶向海军总部吧。	members/head_char_haijun3.png
2202	22	打开正门	0	1	999	3785	7570	0	2202	52	海军总部的正门突然打开了，众多海贼一齐驶进了海军总部马林梵多。	members/head_char_haijun3.png
2203	22	海贼云集	0	1	999	3807	7614	0	2203	52	同时赶来的总共有43艘海贼船，其中不乏名气显赫的大海贼。现场的气氛越来越紧张了。	members/head_char_haijun3.png
2204	22	莫比迪克号	0	1	999	3897	7794	0	2204	52	正当战国疑惑之时，莫迪比克号从总部海底出现在世人眼前，白胡子海贼团登场！	members/head_char_haijun3.png
2205	22	一触即发	0	1	999	3989	7978	0	2205	52	白胡子时代的主角，与海军终于开始了正面对决，大战一触即发。	members/head_char_haijun3.png
2206	22	大战序幕	1	1	10	4698	9396	50000_18_1,41000_52_1	2206	53	为了保证计划顺利进行，战国下令提前处决艾斯，海军中将们充当第一防线，大战一触即发。	members/head_char_zhongjiang.png
2207	22	全军动员	0	1	999	4063	8126	0	2207	53	双方不约而同的发起了进攻号令，混战开始了。	members/head_char_dazuo.png
2208	22	钻石巨人	0	1	999	4101	8202	0	2208	53	白胡子的第三队队长，钻石乔治挺身而出，用自己的身体挡住了敌人的犀利攻击。	members/head_char_dazuo.png
2209	22	攻进港湾	0	1	999	4140	8280	0	2209	53	在双方胶着激战之时，海军大将赤犬出击，利用自己的能力熔炎击碎了冰块，并向白胡子发起挑衅。	members/head_char_dazuo.png
2210	22	激战	0	1	999	4178	8356	0	2210	53	白胡子海贼团各个队长一齐发动进攻，顿时马林梵多硝烟四起。	members/head_char_dazuo.png
2211	22	两路包抄	0	1	999	4196	8392	0	2211	53	奥兹冲出海贼群，向着处刑台一路奔去，用自己的巨大身躯冲开一条血路。	members/head_char_dazuo.png
2212	22	突然袭击	1	1	10	4916	9832	41000_58_1	2212	53	顺利赶到的克罗克达尔，突然冲向了白胡子，扬言要	members/head_char_dazuo.png
2213	22	武海出击	1	1	10	4937	9874	41000_67_1	2213	53	七武海也发起了进攻，奥兹成为众七武海的集火目标，奥兹不敌倒在了处刑台前面。	members/head_char_moliya.png
2214	22	劈斩	1	1	10	4958	9916	50000_54_1,50000_20_1	2214	54	王下七武海之一，被称为世界第一剑客朱洛基尔·米霍克，一刀斩向了摸底比克号…	members/head_char_yingyan.png
2215	22	和平主义	1	1	10	4979	9958	50000_29_1	2215	54	以七武海巴索洛缪·熊为原型制造的和平主义战争机器加入战局，白胡子海贼们损失惨重。	members/head_char_px.png
2216	22	正义必胜	2	1	5	5714	11428	41000_59_1	2216	55	七武海唐吉可德将奥兹的一只脚斩断，使奥兹倒在了处刑台前面。而艾斯却突然开口阻止你赶去救援。	members/head_char_duofolangmingge.png
2301	23	包围圈	0	1	999	4304	8608	0	2301	55	看到一部分海军消失，白胡子立刻命令几位船长向两边突破，果然发现了正在悄悄进行包围的海军。	members/head_char_shaoxiao.png
2302	23	不祥预感	0	1	999	4322	8644	0	2302	55	尽管识破了战国的阴谋，白胡子仍然感到不安，对战国知之甚深的他绝不相信只有如此幼稚的安排。	members/head_char_shaoxiao.png
2303	23	遗漏的人	0	1	999	4340	8680	0	2303	55	大战中，似乎少了一个人的身影，但所有人都已经无暇顾及这种事情。	members/head_char_dazuo.png
2304	23	大圈套	0	1	999	4358	8716	0	2304	55	正当白胡子海贼们一步步逼近处刑台时，史库亚多突然来到白胡子身前……	members/head_char_dazuo.png
2305	23	大圈套2	0	1	999	4377	8754	0	2305	55	站在高台上的战国，目不转睛的望着白胡子，似乎在等待着什么……	members/head_char_dazuo.png
2306	23	反戈相向	1	1	10	5194	10388	50000_52_1	2306	56	不可思议，史库亚多竟然转身向白胡子刺去，没有任何防御，白胡子被砍伤了……	members/head_char_dazuo.png
2307	23	血肉之路	0	1	999	4527	9054	0	2307	56	受到挑唆，仇恨冲昏头脑的史库亚多终于想明白了这是海军的诡计，但为时已晚。	members/head_char_zhongjiang.png
2308	23	沸腾之海	0	1	999	4605	9210	0	2308	56	面对步步紧逼的海贼，赤犬利用岩浆果实的能力，将整个海面煮沸，全员必须赶上陆地才行。	members/head_char_zhongjiang.png
2309	23	铜墙铁壁	0	1	999	4683	9366	0	2309	56	当所有人冲上陆地时，周围突然树立起坚硬的铁墙，战国的计策一环扣一环的展开了。	members/head_char_zhongjiang.png
2310	23	飞越	0	1	999	4763	9526	0	2310	56	现在唯一的出口，只有小奥兹身躯所在的狭窄通道，踏着伙伴的身躯，冲出囚笼！	members/head_char_zhongjiang.png
2311	23	进入广场	0	1	999	4845	9690	0	2311	56	付出巨大代价之后，所有人终于冲进了广场，距离处刑台只有一步之遥。	members/head_char_zhongjiang.png
2312	23	处刑台	1	1	10	5748	11496	41000_68_1,41000_59_1	2312	56	冲破重重险阻，终于登上处刑台，快去救出艾斯！	members/head_char_qingzhi.png
2313	23	碎裂的钥匙	1	1	10	5847	11694	41000_26_1	2313	57	终于抢夺过钥匙来，但尚未给艾斯打开枷锁，一道闪光打碎了钥匙。	members/head_char_huangyuan.png
2314	23	营救成功	1	1	10	5946	11892	50000_52_1,50000_18_1	2314	58	强行轰开愤怒追来的战国，总算将艾斯救下了处刑台，在即将离去时，赤犬出现在了身前。	members/head_char_fozhizhanguo.png
2315	23	艾斯之死	1	1	10	6047	12094	50000_27_1,41000_34_1	2315	59	对白胡子的不屑一顾，深深的刺伤了艾斯的心，刹那的忧郁，终于丧失了逃离的机会。	members/head_char_chiquan.png
