ID	人物名称	人物品质	角色阵营	人物说明	默认技能	初始血量	初始攻击力	初始防御力	初始内力	初始经验值	人物机缘1	人物机缘2	人物机缘3	人物机缘4	人物机缘5	人物机缘6	是否显示	Icom图片路径	海报图片路径	名字图片路径	背景图片路径	战斗图片	音效
6012	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6013	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6014	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6021	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6022	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6023	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6024	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6031	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6032	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6033	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6034	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6041	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6042	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6043	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6044	鱼人1	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6051	N小八	2	1	0	52	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_xiaoba.png	person/poster_char_xiaoba.png	none	none	person/poster_char_xiaoba.png	fightNormalAttack.mp3
6052	鱼人1	4	1	0	43	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6053	鱼人1	4	1	0	43	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6054	鱼人1	4	1	0	43	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_yuren1.png	person/poster_char_yuren1.png	none	none	person/poster_char_yuren1.png	fightNormalAttack.mp3
6061	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6062	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6063	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6064	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6071	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6072	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6073	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6074	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6081	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6082	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6083	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6084	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6091	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6092	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6093	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6094	鱼人2	4	1	0	43	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6101	N啾	4	1	0	70	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_jiu.png	person/poster_char_jiu.png	none	none	person/poster_char_jiu.png	fightNormalAttack.mp3
6102	鱼人2	4	1	0	43	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6103	鱼人2	4	1	0	43	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6104	鱼人2	4	1	0	43	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6111	N克罗欧比	4	1	0	70	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_keluooubi.png	person/poster_char_keluooubi.png	none	none	person/poster_char_keluooubi.png	fightNormalAttack.mp3
6112	鱼人2	4	1	0	43	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6113	鱼人2	4	1	0	43	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6114	鱼人2	4	1	0	43	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_yuren2.png	person/poster_char_yuren2.png	none	none	person/poster_char_yuren2.png	fightNormalAttack.mp3
6121	N阿龙	3	1	0	68	8 	6 	3 	5 	0 	2	0	0	0	0	0	0 	members/head_char_along.png	person/poster_char_along.png	none	none	person/poster_char_along.png	fightNormalAttack.mp3
6122	N克罗欧比	4	1	0	70	8 	6 	3 	5 	0 	2	0	0	0	0	0	0 	members/head_char_keluooubi.png	person/poster_char_keluooubi.png	none	none	person/poster_char_keluooubi.png	fightNormalAttack.mp3
6123	N啾	4	1	0	70	8 	6 	3 	5 	0 	2	0	0	0	0	0	0 	members/head_char_jiu.png	person/poster_char_jiu.png	none	none	person/poster_char_jiu.png	fightNormalAttack.mp3
6124	N小八	4	1	0	52	8 	6 	3 	5 	0 	2	0	0	0	0	0	0 	members/head_char_xiaoba.png	person/poster_char_xiaoba.png	none	none	person/poster_char_xiaoba.png	fightNormalAttack.mp3
7011	海盗3	4	1	0	71	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7012	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7013	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7014	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7015	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7021	海盗3	4	1	0	69	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7022	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7023	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7024	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7025	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7031	海盗3	4	1	0	71	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7032	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7033	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7034	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7035	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7041	海盗3	4	1	0	71	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7042	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7043	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7044	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7045	海盗3	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7051	N巴基	2	1	0	59	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_baji.png	person/poster_char_baji.png	none	none	person/poster_char_baji.png	fightNormalAttack.mp3
7052	海盗3	4	1	0	71	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7053	海盗3	4	1	0	69	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7054	海盗3	4	1	0	70	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7055	海盗3	4	1	0	70	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haidao3.png	person/poster_char_haidao3.png	none	none	person/poster_char_haidao3.png	fightNormalAttack.mp3
7061	海军2	4	1	0	69	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7062	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7063	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7064	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7065	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7071	海军2	4	1	0	69	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7072	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7073	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7074	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7075	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7081	海军2	4	1	0	71	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7082	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7083	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7084	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7085	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7091	海军2	4	1	0	71	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7092	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7093	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7094	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7095	海军2	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7101	N达斯琪	2	1	0	27	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_dasiqi.png	person/poster_char_dasiqi.png	none	none	person/poster_char_dasiqi.png	fightNormalAttack.mp3
7102	海军2	4	1	0	69	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7103	海军2	4	1	0	69	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7104	海军2	4	1	0	69	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7105	海军2	4	1	0	69	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7111	N斯摩格	2	1	0	49	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_simoge.png	person/poster_char_simoge.png	none	none	person/poster_char_simoge.png	fightNormalAttack.mp3
7112	N达斯琪	2	1	0	27	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_dasiqi.png	person/poster_char_dasiqi.png	none	none	person/poster_char_dasiqi.png	fightNormalAttack.mp3
7113	海军2	4	1	0	69	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7114	海军2	4	1	0	69	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7115	海军2	4	1	0	69	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_haijun2.png	person/poster_char_haijun2.png	none	none	person/poster_char_haijun2.png	fightNormalAttack.mp3
7121	拉布	2	1	0	25	8 	6 	3 	5 	0 	2	0	0	0	0	0	0 	members/head_char_labu.png	person/poster_char_labu.png	none	none	person/poster_char_labu.png	fightNormalAttack.mp3
7122	小鲸鱼	4	1	0	68	8 	6 	3 	5 	0 	2	0	0	0	0	0	0 	members/head_char_labu2.png	person/poster_char_labu2.png	none	none	person/poster_char_labu2.png	fightNormalAttack.mp3
7123	小鲸鱼	4	1	0	68	8 	6 	3 	5 	0 	2	0	0	0	0	0	0 	members/head_char_labu2.png	person/poster_char_labu2.png	none	none	person/poster_char_labu2.png	fightNormalAttack.mp3
7124	小鲸鱼	4	1	0	68	8 	6 	3 	5 	0 	2	0	0	0	0	0	0 	members/head_char_labu2.png	person/poster_char_labu2.png	none	none	person/poster_char_labu2.png	fightNormalAttack.mp3
7125	小鲸鱼	4	1	0	68	8 	6 	3 	5 	0 	2	0	0	0	0	0	0 	members/head_char_labu2.png	person/poster_char_labu2.png	none	none	person/poster_char_labu2.png	fightNormalAttack.mp3
8011	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8012	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8013	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8014	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8015	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8021	伪装的居民	4	1	0	69	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8022	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8023	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8024	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8025	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8031	伪装的居民	4	1	0	69	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8032	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8033	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8034	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8035	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8041	伪装的居民	4	1	0	71	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8042	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8043	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8044	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8045	伪装的居民	4	1	0	70	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8051	NMiss.Wednesday	3	1	0	70	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_weiwei.png	person/poster_char_weiwei.png	none	none	person/poster_char_weiwei.png	fightNormalAttack.mp3
8052	伪装的居民	4	1	0	71	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8053	伪装的居民	4	1	0	71	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8054	伪装的居民	4	1	0	71	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8055	伪装的居民	4	1	0	71	8 	6 	2 	4 	0 	1	0	0	0	0	0	0 	members/head_char_jumin.png	person/poster_char_jumin.png	none	none	person/poster_char_jumin.png	fightNormalAttack.mp3
8061	赏金猎人	4	1	0	69	7 	5 	2 	4 	0 	0	0	0	0	0	0	0 	members/head_char_shangjinlieren1.png	person/poster_char_shangjinlieren1.png	none	none	person/poster_char_shangjinlieren1.png	fightNormalAttack.mp3
