ID	名称	触发类别	触发条件	加成类型	属性提升额度	机缘描述
379	女海贼	1	65	2	27	与娜美齐上阵,攻击提升27%。
380	胖子队长	1	86	1	20	与布拉曼克齐上阵,血量提升20%。
381	胖子队长	1	57	1	20	与阿特摩斯齐上阵,血量提升20%。
382	泡沫与水	1	65	1	20	与娜美齐上阵,血量提升20%。
383	佩刀托付	1	53	2	23	与索隆齐上阵,攻击提升23%。
384	皮鞭与蜡	1	107	4	25	与小萨迪齐上阵,意志提升25%。
385	皮鞭与蜡	1	106	4	25	与Mr.3齐上阵,意志提升25%。
386	平分秋色	1	53	3	21	与索隆齐上阵,防御提升21%。
387	破坏家乡	1	63	2	18	与乔巴齐上阵,攻击提升18%。
388	破坏家乡	1	12	2	18	与黑胡子齐上阵,攻击提升18%。
389	旗帜猎人	1	53	2	21	与索隆齐上阵,攻击提升21%。
390	气象操控	2	1	4	25	装备龙卷风技能,意志提升25%。
391	千年之龙	1	41	1	12	与路飞齐上阵,血量提升12%。
392	强力踢技	1	59	2	23	与香吉士齐上阵,攻击提升23%。
393	强力踢技	1	11	2	23	与黄猿齐上阵,攻击提升23%。
394	强力压制	1	69	4	25	与迪卡尔班兄弟齐上阵,意志提升25%。
395	蔷薇花剑	3	17	2	26	装备花剑,攻击提升26%。
396	侵犯者	1	121	2	23	与克里克齐上阵,攻击提升23%。
397	亲爱的	1	140	1	20	与杰西卡齐上阵,血量提升20%。
398	亲爱的	1	89	1	20	与强纳森齐上阵,血量提升20%。
399	亲密伙伴	1	19	3	25	与艾斯齐上阵,防御提升25%。
400	讨伐之由	1	45	3	23	与拉奇·鲁齐上阵,防御提升23%。
401	亲密无间	1	77	3	27	与卡库齐上阵,防御提升27%。
402	青梅竹马	1	53	2	23	与索隆齐上阵,攻击提升23%。
403	轻易击败	1	73	4	28	与斯摩格齐上阵,意志提升28%。
404	倾力拦截	1	63	3	21	与乔巴齐上阵,防御提升21%。
405	情同父子	1	2	2	24	与白胡子齐上阵,攻击提升24%。
406	情同父子	1	19	2	24	与艾斯齐上阵,攻击提升24%。
407	情有独钟	1	65	1	20	与娜美齐上阵,血量提升20%。
408	全军覆没	1	60	4	25	与妮可罗宾齐上阵,意志提升25%。
409	诠释梦想	1	65	3	24	与娜美齐上阵,防御提升24%。
410	拳击格斗	1	150	1	20	与福克斯齐上阵,血量提升20%。
411	犬犬果实	1	78_156	2	19	与加布拉、加卡齐上阵,攻击提升19%。
412	犬犬果实	1	156_48	2	19	与加卡、大麦町齐上阵,攻击提升19%。
413	犬犬果实	1	78_48	2	19	与加布拉、大麦町齐上阵,攻击提升19%。
414	热舞友情	1	155	2	15	与赞高齐上阵,攻击提升15%。
415	热血好战	3	22	2	27	装备廓尔喀弯刀,攻击提升27%。
416	人妖世界	1	38	1	20	与伊万科夫齐上阵,血量提升20%。
417	如影随形	1	60	3	28	与妮可罗宾齐上阵,防御提升28%。
418	如影随形	1	10	3	28	与青雉齐上阵,防御提升28%。
419	入伙牵线	1	85	2	23	与萨吉齐上阵,攻击提升23%。
420	入伙牵线	1	69	2	23	与迪卡尔班兄弟齐上阵,攻击提升23%。
421	弱点掌控	1	60	2	27	与妮可罗宾齐上阵,攻击提升27%。
422	三大将	1	10_11	2	27	与青雉、黄猿齐上阵,攻击提升27%。
423	三大将	1	11_9	2	27	与黄猿、赤犬齐上阵,攻击提升27%。
424	三大将	1	10_9	2	27	与青雉、赤犬齐上阵,攻击提升27%。
425	三代殊途	1	41_3	2	23	与路飞、卡普齐上阵,攻击提升23%。
426	三代殊途	1	5_3	2	23	与龙、卡普齐上阵,攻击提升23%。
427	三代殊途	1	41_5	2	23	与路飞、龙齐上阵,攻击提升23%。
428	三怪人	1	92_93	2	23	与霍古巴克、阿布萨罗姆齐上阵,攻击提升23%。
429	三怪人	1	72_93	2	23	与佩罗娜、阿布萨罗姆齐上阵,攻击提升23%。
430	三怪人	1	72_92	2	23	与佩罗娜、霍古巴克齐上阵,攻击提升23%。
431	杀戮武器	1	31	2	26	与基拉齐上阵,攻击提升26%。
432	善用手枪	1	45	2	28	与拉奇·鲁齐上阵,攻击提升28%。
433	伤痕之眼	1	6	2	28	与雷利齐上阵,攻击提升28%。
434	伤痕之眼	1	53	2	28	与索隆齐上阵,攻击提升28%。
435	蛇蛇果实	1	101	1	20	与玛丽哥鲁德齐上阵,血量提升20%。
436	蛇蛇果实	1	100	1	20	与桑达索尼亚齐上阵,血量提升20%。
437	社员搭档	1	182	4	18	与星期一齐上阵,意志提升18%。
438	深海监狱	1	107	3	18	与小萨迪齐上阵,防御提升18%。
439	神鬼莫测	1	61	4	28	与布鲁克齐上阵,意志提升28%。
440	神魂颠倒	1	167	4	25	与霍波迪齐上阵,意志提升25%。
441	神之权杖	3	8	2	24	装备黄金棍,攻击提升24%。
442	生命归还	1	39	1	17	与罗布·路奇齐上阵,血量提升17%。
443	生命卡	1	65	1	23	与娜美齐上阵,血量提升23%。
444	生死未卜	1	65	4	18	与娜美齐上阵,意志提升18%。
445	生死兄弟	1	66	1	24	与闪电齐上阵,血量提升24%。
446	生死之敌	1	12	1	22	与黑胡子齐上阵,血量提升22%。
447	生铁戒指	3	90	1	18	装备生铁戒指,血量提升18%。
448	生锈长剑	3	23	2	20	装备长剑,攻击提升20%。
449	失去自由	1	9	4	26	与赤犬齐上阵,意志提升26%。
450	师出同门	1	73_88	3	28	与斯摩格、希娜齐上阵,防御提升28%。
451	银质怀表	3	81	1	25	装备银质怀表,血量提升25%。
452	识破身份	1	81	4	25	与拉菲特齐上阵,意志提升25%。
453	实际主人	1	15	2	23	与多弗朗明哥齐上阵,攻击提升23%。
454	似曾相识	1	53	1	20	与索隆齐上阵,血量提升20%。
455	势不两立	1	2	1	22	与白胡子齐上阵,血量提升22%。
456	势不两立	1	12	1	22	与黑胡子齐上阵,血量提升22%。
457	视财如命	1	65	3	23	与娜美齐上阵,防御提升23%。
458	嗜酒如命	1	104	1	20	与布洛基齐上阵,血量提升20%。
459	嗜酒如命	1	51	1	20	与乔特齐上阵,血量提升20%。
460	嗜杀成性	1	31	3	26	与基拉齐上阵,防御提升26%。
461	嗜杀成性	1	30	3	26	与雨之希留齐上阵,防御提升26%。
462	嗜睡如命	1	53	3	28	与索隆齐上阵,防御提升28%。
463	守护路飞	1	24	4	25	与甚平齐上阵,意志提升25%。
464	守护路飞	1	25	4	25	与汉库克齐上阵,意志提升25%。
465	守护神	1	156	3	18	与加卡齐上阵,防御提升18%。
466	守护神	1	126	3	18	与隼之贝尔齐上阵,防御提升18%。
467	守护鱼人岛	1	2_14	4	27	与白胡子、夏洛特玲玲齐上阵,意志提升27%。
468	守护鱼人岛	1	24_2	4	27	与甚平、白胡子齐上阵,意志提升27%。
469	守护鱼人岛	1	24_14	4	27	与甚平、夏洛特玲玲齐上阵,意志提升27%。
470	守口如瓶	1	58	3	23	与战桃丸齐上阵,防御提升23%。
471	守口如瓶	1	114	3	23	与猫头鹰齐上阵,防御提升23%。
472	首要敌人	1	13	1	23	与凯多齐上阵,血量提升23%。
473	兽人军团	1	13	3	23	与凯多齐上阵,防御提升23%。
474	束手无策	1	26	4	20	与克洛克达尔齐上阵,意志提升20%。
475	双刀作战	3	18	2	23	装备武士太刀,攻击提升23%。
476	战斧	3	26	2	27	装备战斧,攻击提升27%。
477	双樱花树	2	32	4	25	装备双樱花树技能,意志提升25%。
478	水淹僵尸	1	27	1	21	与莫利亚齐上阵,血量提升21%。
479	司法岛	1	139	2	17	与斯潘达姆齐上阵,攻击提升17%。
480	死亡逼近	1	53	4	27	与索隆齐上阵,意志提升27%。
481	死亡诱惑	3	67	2	19	装备死亡诱惑,攻击提升19%。
482	四大神官	1	131_130_129	2	17	与莎德利、盖达兹、修拉齐上阵,攻击提升17%。
483	四大神官	1	131_130_128	2	17	与莎德利、盖达兹、欧姆齐上阵,攻击提升17%。
484	四大神官	1	131_129_128	2	17	与莎德利、修拉、欧姆齐上阵,攻击提升17%。
485	四大神官	1	130_129_128	2	17	与盖达兹、修拉、欧姆齐上阵,攻击提升17%。
486	四分五裂	1	120	3	23	与贝里古德齐上阵,防御提升23%。
487	四分五裂	1	90	3	23	与巴基齐上阵,防御提升23%。
488	四皇	1	2_7_14	2	25	与白胡子、香克斯、夏洛特玲玲齐上阵,攻击提升25%。
489	四皇	1	13_14_7	2	25	与凯多、夏洛特玲玲、香克斯齐上阵,攻击提升25%。
490	四皇	1	2_13_14	2	25	与白胡子、凯多、夏洛特玲玲齐上阵,攻击提升25%。
491	四皇	1	2_7_13	2	25	与白胡子、香克斯、凯多齐上阵,攻击提升25%。
492	塔顶阻截	1	41	3	23	与路飞齐上阵,防御提升23%。
493	太阳印记	1	108	2	23	与小八齐上阵,攻击提升23%。
494	讨厌的人	1	53	1	20	与索隆齐上阵,血量提升20%。
495	提督船长	1	121	4	19	与克里克齐上阵,意志提升19%。
496	体型相仿	1	86	4	25	与布拉曼克齐上阵,意志提升25%。
497	体型相仿	1	45	4	25	与拉奇·鲁齐上阵,意志提升25%。
498	天才医生	1	63	1	20	与乔巴齐上阵,血量提升20%。
499	天候棒	3	14	2	23	装备天候棒,攻击提升23%。
500	天空飞行	1	91	3	23	与莫奈齐上阵,防御提升23%。
501	天空飞行	1	126	3	23	与隼之贝尔齐上阵,防御提升23%。
502	天空骑士	3	37	2	18	装备长枪,攻击提升18%。
503	挑拨离间	1	11	3	23	与黄猿齐上阵,防御提升23%。
504	调虎离山	1	59	1	16	与香吉士齐上阵,血量提升16%。
505	铁壁	3	57	4	28	装备铁壁,意志提升28%。
506	铁壁防御	3	57	3	17	装备铁壁,防御提升17%。
507	铁臂攻击	1	62	2	23	与弗兰奇齐上阵,攻击提升23%。
508	铁壁之由	1	30	1	23	与雨之希留齐上阵,血量提升23%。
509	铁壁之由	1	22	1	23	与麦哲伦齐上阵,血量提升23%。
510	铁拳神威	2	17	4	27	装备陨石流星雨技能,意志提升27%。
511	同仇敌忾	1	152	1	20	与亚尔丽塔齐上阵,血量提升20%。
512	同为剑客	1	53	2	25	与索隆齐上阵,攻击提升25%。
513	偷袭失败	1	62	2	25	与弗兰奇齐上阵,攻击提升25%。
514	投奔海军	1	88	2	17	与希娜齐上阵,攻击提升17%。
515	透明骚扰	1	60	4	25	与妮可罗宾齐上阵,意志提升25%。
516	屠魔中将	1	75	1	20	与鼯鼠齐上阵,血量提升20%。
517	屠魔中将	1	71	1	20	与鬼蜘蛛齐上阵,血量提升20%。
518	脱困诱饵	1	105	2	23	与Mr.2齐上阵,攻击提升23%。
519	挽回名誉	1	27	3	24	与莫利亚齐上阵,防御提升24%。
520	万轮花	2	7	2	18	装备万轮花技能,攻击提升18%。
521	王国参谋	1	193	2	17	与杰斯齐上阵,攻击提升17%。
522	王国仇敌	1	26	2	17	与克洛克达尔齐上阵,攻击提升17%。
523	王国覆灭	1	12	4	19	与黑胡子齐上阵,意志提升19%。
524	王国事务官	1	168	3	17	与克罗马利蒙齐上阵,防御提升17%。
525	王下七武海	1	25_24_15_27_26_16	2	28	与汉库克、甚平、多弗朗明哥、莫利亚、克洛克达尔、熊齐上阵,攻击提升28%。
526	王下七武海	1	25_24_8_27_26_16	2	28	与汉库克、甚平、鹰眼、莫利亚、克洛克达尔、熊齐上阵,攻击提升28%。
527	王下七武海	1	25_8_15_27_26_16	2	28	与汉库克、鹰眼、多弗朗明哥、莫利亚、克洛克达尔、熊齐上阵,攻击提升28%。
528	王下七武海	1	25_24_15_8_26_16	2	28	与汉库克、甚平、多弗朗明哥、鹰眼、克洛克达尔、熊齐上阵,攻击提升28%。
529	王下七武海	1	25_24_15_27_8_16	2	28	与汉库克、甚平、多弗朗明哥、莫利亚、鹰眼、熊齐上阵,攻击提升28%。
530	王下七武海	1	25_24_15_27_26_8	2	28	与汉库克、甚平、多弗朗明哥、莫利亚、克洛克达尔、鹰眼齐上阵,攻击提升28%。
531	王下七武海	1	16_24_15_27_26_8	2	28	与熊、甚平、多弗朗明哥、莫利亚、克洛克达尔、鹰眼齐上阵,攻击提升28%。
532	维护船只	1	64	2	23	与乌索普齐上阵,攻击提升23%。
533	维护船只	1	62	2	23	与弗兰奇齐上阵,攻击提升23%。
534	伟大战士	1	64	3	23	与乌索普齐上阵,防御提升23%。
535	闻声色变	1	15	3	23	与多弗朗明哥齐上阵,防御提升23%。
536	乌托邦	1	60	1	24	与妮可罗宾齐上阵,血量提升24%。
537	无法回避	1	11	3	24	与黄猿齐上阵,防御提升24%。
538	无法匹敌	1	59	2	27	与香吉士齐上阵,攻击提升27%。
539	无礼骚扰	1	139	4	25	与斯潘达姆齐上阵,意志提升25%。
540	无上敬仰	1	42	1	24	与费雪·泰格齐上阵,血量提升24%。
541	无死角	1	62	1	20	与弗兰奇齐上阵,血量提升20%。
542	无死角	1	34	1	20	与钻石乔兹齐上阵,血量提升20%。
543	武士太刀	3	18	2	23	装备武士太刀,攻击提升23%。
544	吸血鬼斗篷	3	49	3	23	装备吸血鬼斗篷,防御提升23%。
545	昔日同伴	1	6	4	28	与雷利齐上阵,意志提升28%。
546	昔日同伴	1	7	4	28	与香克斯齐上阵,意志提升28%。
547	洗化组合	1	99	2	23	与鹤中将齐上阵,攻击提升23%。
548	洗化组合	1	96	2	23	与卡莉法齐上阵,攻击提升23%。
549	相差无几	1	114	3	20	与猫头鹰齐上阵,防御提升20%。
550	相差无几	1	113	3	20	与雄狮偎取齐上阵,防御提升20%。
551	相交莫逆	1	55	4	25	与金古多齐上阵,意志提升25%。
552	相交莫逆	1	44	4	25	与小奥兹齐上阵,意志提升25%。
553	橡皮枪	2	51	4	25	装备橡皮枪技能,意志提升25%。
554	小宠物	1	63	2	21	与乔巴齐上阵,攻击提升21%。
555	小萝莉	1	72	3	23	与佩罗娜齐上阵,防御提升23%。
556	小萝莉	1	74	3	23	与古伊娜齐上阵,防御提升23%。
557	心爱佩刀	3	9	2	23	装备和道一文字,攻击提升23%。
558	新成员	1	123	4	21	与利普·多提齐上阵,意志提升21%。
559	新成员	1	122	4	21	与艾伯塔昂齐上阵,意志提升21%。
560	新旧国王	1	166	1	15	与瓦波尔齐上阵,血量提升15%。
561	新人类	1	38	4	26	与伊万科夫齐上阵,意志提升26%。
562	新人类	1	105	4	26	与Mr.2齐上阵,意志提升26%。
563	新人信使	1	2	4	25	与白胡子齐上阵,意志提升25%。
564	信任伙伴	1	86_83	1	24	与布拉曼克、拉克约齐上阵,血量提升24%。
565	星盾防御	2	33	3	23	装备星盾技能,防御提升23%。
566	猩猩珍兽	1	179	4	25	与猩猩齐上阵,意志提升25%。
567	惺惺相惜	1	19	3	28	与艾斯齐上阵,防御提升28%。
568	形影不离	1	21	2	17	与罗齐上阵,攻击提升17%。
569	性喜骗人	1	64	3	23	与乌索普齐上阵,防御提升23%。
570	兄弟情深	1	41	3	24	与路飞齐上阵,防御提升24%。
571	兄弟情深	1	19	3	24	与艾斯齐上阵,防御提升24%。
572	锈迹斑斑	3	11	2	18	装备雪走,攻击提升18%。
573	残忍手段	1	32	1	25	与贝基齐上阵,血量提升25%。
574	残忍手段	1	31	1	25	与基拉齐上阵,血量提升25%。
575	驯鹿之名	1	63	1	24	与乔巴齐上阵,血量提升24%。
576	驯兽师	1	90	3	18	与巴基齐上阵,防御提升18%。
577	押送守卫	1	153	2	17	与奈罗齐上阵,攻击提升17%。
578	押送守卫	1	132	2	17	与瓦杰齐上阵,攻击提升17%。
579	烟枪海军	1	73	4	29	与斯摩格齐上阵,意志提升29%。
580	烟雾捕捉	1	90	4	25	与巴基齐上阵,意志提升25%。
581	烟雾捕捉	1	73	4	25	与斯摩格齐上阵,意志提升25%。
582	炎戒火柱	2	20	4	27	装备炎戒火柱技能,意志提升27%。
583	炎热地狱	1	59	3	23	与香吉士齐上阵,防御提升23%。
584	炎热地狱	1	9	3	23	与赤犬齐上阵,防御提升23%。
585	野蛮冲撞	1	26	2	23	与克洛克达尔齐上阵,攻击提升23%。
586	野兽肉	1	59	1	20	与香吉士齐上阵,血量提升20%。
587	一刀流队长	1	56	1	20	与布伦海姆齐上阵,血量提升20%。
588	一刀流队长	1	54	1	20	与佛萨齐上阵,血量提升20%。
589	一饭之恩	1	59	3	21	与香吉士齐上阵,防御提升21%。
590	一击必杀	1	19	4	29	与艾斯齐上阵,意志提升29%。
591	一击即胜	1	59	2	27	与香吉士齐上阵,攻击提升27%。
592	一击重伤	1	161	2	19	与Mr.8齐上阵,攻击提升19%。
593	一脉相承	2	52	1	20	装备鬼斩技能,血量提升20%。
594	一人制敌	1	11	1	21	与黄猿齐上阵,血量提升21%。
595	一亿贝里	1	65	3	19	与娜美齐上阵,防御提升19%。
596	医生父子	1	63	1	15	与乔巴齐上阵,血量提升15%。
597	医术传承	1	63	4	17	与乔巴齐上阵,意志提升17%。
598	以命抵命	1	53	2	26	与索隆齐上阵,攻击提升26%。
599	以一敌二	1	31_36	3	23	与基拉、乌尔基齐上阵,防御提升23%。
600	亦师亦敌	1	53	2	18	与索隆齐上阵,攻击提升18%。
601	亦师亦敌	1	8	2	18	与鹰眼齐上阵,攻击提升18%。
602	异种形态	1	61	1	22	与布鲁克齐上阵,血量提升22%。
603	异种形态	1	31	1	22	与基拉齐上阵,血量提升22%。
604	音波攻击	1	179	4	25	与猩猩齐上阵,意志提升25%。
605	音乐之声	1	61	4	28	与布鲁克齐上阵,意志提升28%。
606	银狐船员	1	150	3	19	与福克斯齐上阵,防御提升19%。
607	银戒指	3	89	1	20	装备银戒指,血量提升20%。
608	引路人	1	3	4	18	与卡普齐上阵,意志提升18%。
609	隐忍潜伏	1	174	4	30	与冰山齐上阵,意志提升30%。
610	营救艾斯	1	19	4	25	与艾斯齐上阵,意志提升25%。
611	影子战士	1	53	2	19	与索隆齐上阵,攻击提升19%。
612	永航之船	1	62	4	20	与弗兰奇齐上阵,意志提升20%。
613	友情宣誓	1	41	3	23	与路飞齐上阵,防御提升23%。
614	鱼人海贼	1	124	2	23	与阿龙齐上阵,攻击提升23%。
615	鱼人领袖	1	24	2	23	与甚平齐上阵,攻击提升23%。
616	鱼人兄弟	1	108	2	16	与小八齐上阵,攻击提升16%。
617	鱼人泳法	1	147	4	21	与卡博帝齐上阵,意志提升21%。
618	鱼人泳法	1	146	4	21	与蒙达齐上阵,意志提升21%。
619	瑜伽串烧	1	59	3	19	与香吉士齐上阵,防御提升19%。
620	狱卒队长	1	107	2	20	与小萨迪齐上阵,攻击提升20%。
621	浴火重生	2	18	3	26	装备复活青炎技能,防御提升26%。
622	原主人	1	72	3	19	与佩罗娜齐上阵,防御提升19%。
623	圆顶礼帽	1	81	4	30	与拉菲特齐上阵,意志提升30%。
624	猿山联合	1	170_179	2	18	与人猿、猩猩齐上阵,攻击提升18%。
625	猿山联合	1	169_179	2	18	与文布兰·库力克、猩猩齐上阵,攻击提升18%。
626	猿山联合	1	169_170	2	18	与文布兰·库力克、人猿齐上阵,攻击提升18%。
627	愿望破灭	1	59	3	23	与香吉士齐上阵,防御提升23%。
628	运国魔人	1	44	2	23	与小奥兹齐上阵,攻击提升23%。
629	运国魔人	1	43	2	23	与奥兹齐上阵,攻击提升23%。
630	遭遇惨败	1	16	1	21	与熊齐上阵,血量提升21%。
631	炸弹对轰	1	64	3	18	与乌索普齐上阵,防御提升18%。
632	斩击对决	1	53	2	23	与索隆齐上阵,攻击提升23%。
633	斩时雨	1	84	1	20	与达斯琪齐上阵,血量提升20%。
634	占据影子	1	61	1	20	与布鲁克齐上阵,血量提升20%。
635	战败降服	1	19	4	25	与艾斯齐上阵,意志提升25%。
636	战斗败北	1	63	1	15	与乔巴齐上阵,血量提升15%。
637	战斗料理	1	59	1	16	与香吉士齐上阵,血量提升16%。
638	战斗失败	1	41	4	19	与路飞齐上阵,意志提升19%。
639	战神头盔	3	40	2	18	装备战神头盔,攻击提升18%。
640	章鱼烧	1	190	3	23	与凯米齐上阵,防御提升23%。
641	章鱼烧	1	108	3	23	与小八齐上阵,防御提升23%。
642	长鼻父子	1	64	3	23	与乌索普齐上阵,防御提升23%。
643	长鼻父子	1	47	3	23	与耶稣布齐上阵,防御提升23%。
644	长鼻子	1	64	2	23	与乌索普齐上阵,攻击提升23%。
645	长角怪人	1	22	3	23	与麦哲伦齐上阵,防御提升23%。
646	长相相似	1	173	4	21	与迪巴鲁齐上阵,意志提升21%。
647	掌舵航行	1	82	2	23	与巴沙斯齐上阵,攻击提升23%。
648	掌舵航行	1	81	1	25	与拉菲特齐上阵,血量提升25%。
649	珍珠项链	3	85	1	20	装备珍珠项链,血量提升20%。
650	真与假	1	64	2	23	与乌索普齐上阵,攻击提升23%。
651	诊断死因	1	63	3	23	与乔巴齐上阵,防御提升23%。
652	缜密心思	1	76	3	26	与凯撒齐上阵,防御提升26%。
653	争分夺秒	1	117	4	27	与克比齐上阵,意志提升27%。
654	征召汉库克	1	25	4	25	与汉库克齐上阵,意志提升25%。
655	整形踢	1	59	2	16	与香吉士齐上阵,攻击提升16%。
656	正义大氅	3	46	3	27	装备正义大氅,防御提升27%。
657	指枪绝技	1	39	2	23	与罗布·路奇齐上阵,攻击提升23%。
658	至交好友	1	7	3	25	与香克斯齐上阵,防御提升25%。
659	好兄弟	1	9	3	24	与赤犬齐上阵,防御提升24%。
660	至交好友	1	8	3	25	与鹰眼齐上阵,防御提升25%。
661	旧相识	1	10	3	25	与青雉齐上阵,防御提升25%。
662	志同道合	1	12	4	25	与黑胡子齐上阵,意志提升25%。
663	制式手枪	3	25	2	23	装备制式手枪,攻击提升23%。
664	智谋中将	1	89	4	25	与强纳森齐上阵,意志提升25%。
665	智谋中将	1	99	4	25	与鹤中将齐上阵,意志提升25%。
666	忠诚护卫	1	161	3	18	与Mr.8齐上阵,防御提升18%。
667	忠诚护卫	1	160	3	18	与薇薇公主齐上阵,防御提升18%。
668	忠心部下	1	115	3	27	与Mr.1齐上阵,防御提升27%。
669	终极拷问	3	28	2	23	装备皮鞭,攻击提升23%。
670	终极铁拳	1	62	4	20	与弗兰奇齐上阵,意志提升20%。
671	终极战舰	1	186	1	13	与托姆齐上阵,血量提升13%。
672	重创路飞	1	41	2	23	与路飞齐上阵,攻击提升23%。
673	重获新生	1	25	1	21	与汉库克齐上阵,血量提升21%。
674	重获新生	1	42	1	21	与费雪·泰格齐上阵,血量提升21%。
675	重新复活	1	92	4	25	与霍古巴克齐上阵,意志提升25%。
676	重型武器	3	24	2	23	装备巨锤,攻击提升23%。
677	追求者	1	155	3	23	与赞高齐上阵,防御提升23%。
678	追杀公主	1	160	1	16	与薇薇公主齐上阵,血量提升16%。
679	坠入爱河	1	41	2	27	与路飞齐上阵,攻击提升27%。
680	紫水晶挂饰	3	84	1	20	装备紫水晶挂饰,血量提升20%。
681	自我牺牲	1	22	4	25	与麦哲伦齐上阵,意志提升25%。
682	最高上司	1	139	4	25	与斯潘达姆齐上阵,意志提升25%。
683	最强防御	1	58	3	27	与战桃丸齐上阵,防御提升27%。
684	最强之刃	3	1	2	27	装备黑刀夜,攻击提升27%。
685	船坞工头	1	143	2	18	与巴里齐上阵,攻击提升18%。
686	船坞老板	1	174	3	19	与冰山齐上阵,防御提升19%。
687	视作恩师	1	174	2	16	与冰山齐上阵,攻击提升16%。
688	监狱战友	1	38	2	18	与伊万科夫齐上阵,攻击提升18%。
