ID	名称	品阶	类型	技能说明	初始加成额度	技能成长幅度	Icom图片路径	海报图片路径	名字图片路径	时长	ccb文件	攻击timeline	攻击置换资源	音效
45	闪耀撞击	2	1	将全身转化为坚不可摧的钻石，然后用力向敌人撞去。此奥义较易施展。	22.73	13.13	skillposter/poster_skill_shanyaozhuangji.png	skillposter/poster_skill_shanyaozhuangji.png	skilltex/tex_skill_shanyaozhuangji.png	6	s_slsb	large_single_g	{mSlsaEF01:s_syzjmSlsaEF01.png}{mSlsaEF02a01:s_syzjmSlsaEF02a01.png}{mSlsaEF02a02:s_syzjmSlsaEF02a02.png}{mSlsaEF03:s_syzjmSlsaEF03.png}{mSlsaEF04:s_syzjmSlsaEF04.png}{mSlsaEF05:s_syzjmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	shanyao.mp3
46	蔷薇之剑	2	1	凌厉而又浪漫的剑法，使用时会引发漫天的蔷薇花雨。此奥义较易施展。	22.28	13.26	skillposter/poster_skill_qiangweizhijian.png	skillposter/poster_skill_qiangweizhijian.png	skilltex/tex_skill_qiangweizhijian.png	6	s_slsqwzj	large_single_pb	0	qianwai.mp3
47	黑矛阵	2	1	通过身体形成诸多黑矛，如牢笼般将敌人予以囚禁。此奥义较易施展。	22.05	13.39	skillposter/poster_skill_heimaozhen.png	skillposter/poster_skill_heimaozhen.png	skilltex/tex_skill_heimaozhen.png	6	s_slsa	large_single_c	{mSlsaEF01:s_hmzmSlsaEF01.png}{mSlsaEF02a01:s_hmzmSlsaEF02a01.png}{mSlsaEF02a02:s_hmzmSlsaEF02a02.png}{mSlsaEF03:s_hmzmSlsaEF03.png}{mSlsaEF04:s_hmzmSlsaEF04.png}{mSlsaEF05:s_hmzmSlsaEF05.png}{mSlsaEF06:battle4_guangquan2.png}	heimao.mp3
48	寒冰刺骨	2	2	利用寒冷天气制造大量的冰锥投向敌人。此奥义容易施展。	5.78	3.4	skillposter/poster_skill_xuelan.png	skillposter/poster_skill_xuelan.png	skilltex/tex_skill_xuelan.png	6	s_slga	large_group_d	{mSlgaEF01:s_BingmSlgdEF01.png}{mSlgaEF02:s_BingmSlgdEF02.png}{mSlgaEF03:s_BingmSlgdEF03.png}{mSlgaEF04:s_BingmSlgdEF04.png}{mSlgaEF05:s_BingmSlgdEF05.png}{mSlgaEF06:s_BingmSlgdEF06.png}{mSlgaEF07:s_BingmSlgdEF07.png}{mSlgaEF08:s_BingmSlgdEF08.png}{mSlgaEF09:s_BingmSlgdEF09.png}{mSlgaEF10:s_BingmSlgdEF10.png}	hanbing.mp3
49	白色疾风	2	1	乳白烟雾冲击，将手腕变成烟雾状打击对手。此奥义容易施展。	17.81	10.51	skillposter/poster_skill_baisejifeng.png	skillposter/poster_skill_baisejifeng.png	skilltex/tex_skill_baisejifeng.png	6	s_slsa	large_single_e	{mSlsaEF01:s_baisejfmSlsaEF01.png}{mSlsaEF02a01:s_baisejfmSlsaEF02a01.png}{mSlsaEF02a02:s_baisejfmSlsaEF02a02.png}{mSlsaEF03:s_baisejfmSlsaEF03.png}{mSlsaEF04:s_baisejfmSlsaEF04.png}{mSlsaEF05:s_baisejfmSlsaEF05.png}	baisejifeng.mp3
50	雷云箭	3	1	将雷电牵引下来，像箭一样射出去，对敌方造成伤害。此奥义容易施展。	10.83	7.07	skillposter/poster_skill_leiyunjian.png	skillposter/poster_skill_leiyunjian.png	skilltex/tex_skill_leiyunjian.png	2	s_battle	s_skilla	{mSsaEFA01:s_LyjmSsaEFA01.png}{mSsaEFA02:s_LyjmSsaEFA02.png}{mSsaEFA03:s_LyjmSsaEFA03.png}{mSsaEFA04:s_LyjmSsaEFA04.png}{mSsaEFA05:s_LyjmSsaEFA05.png}{mSsaEFA06:s_LyjmSsaEFA06.png}{mSsaEFA07:s_LyjmSsaEFA07.png}{mSsaEFB01:s_LyjmSsaEFA08.png}{mSsaEFB02:s_LyjmSsaEFA08.png}{mSsaEFB03:s_LyjmSsaEFA08.png}{mSsaEFB04:s_LyjmSsaEFA08.png}{mSsaEFB05:s_LyjmSsaEFA08.png}{mSsaEFB06:s_LyjmSsaEFA08.png}{mSsaEFB07:s_LyjmSsaEFA08.png}{mSsaEFC01:s_LyjmSsaEFA01.png}{mSsaEFC02:s_LyjmSsaEFA02.png}{mSsaEFC03:s_LyjmSsaEFA03.png}{mSsaEFC04:s_LyjmSsaEFA04.png}{mSsaEFC05:s_LyjmSsaEFA05.png}{mSsaEFC06:s_LyjmSsaEFA06.png}{mSsaEFC07:s_LyjmSsaEFA07.png}	skillc.mp3
51	橡皮枪	3	1	利用橡皮人可以伸缩的特性，通过弹力使得拳头攻击比枪还厉害。此奥义较易施展。	11.62	7.92	skillposter/poster_skill_xiangpiqiang.png	skillposter/poster_skill_xiangpiqiang.png	skilltex/tex_skill_xiangpiqiang.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
52	鬼斩	3	1	让左右手交叉的架势，使出像是要夹住敌人的斩击，第三把刀则是用来封锁敌人逃出去的空隙。此奥义较难施展。	13.53	9.13	skillposter/poster_skill_guizhan.png	skillposter/poster_skill_guizhan.png	skilltex/tex_skill_guizhan.png	2	s_battle	s_skilla	{mSsaEFA01:B_zhanjiB01.png}{mSsaEFA02:B_zhanjiB02.png}{mSsaEFA03:B_zhanjiB03.png}{mSsaEFA04:B_zhanjiB04.png}{mSsaEFA05:B_zhanjiB05.png}{mSsaEFA06:B_zhanjiB06.png}{mSsaEFA07:B_zhanjiB07.png}{mSsaEFB01:B_zhanjiB01.png}{mSsaEFB02:B_zhanjiB02.png}{mSsaEFB03:B_zhanjiB03.png}{mSsaEFB04:B_zhanjiB04.png}{mSsaEFB05:B_zhanjiB05.png}{mSsaEFB06:B_zhanjiB06.png}{mSsaEFB07:B_zhanjiB07.png}{mSsaEFC01:B_zhanjiB01.png}{mSsaEFC02:B_zhanjiB02.png}{mSsaEFC03:B_zhanjiB03.png}{mSsaEFC04:B_zhanjiB04.png}{mSsaEFC05:B_zhanjiB05.png}{mSsaEFC06:B_zhanjiB06.png}{mSsaEFC07:B_zhanjiB07.png}	skillc.mp3
53	碎肉踢	3	1	使用经过长期训练的双腿，迅速踢向敌人，将其骨肉粉碎。此奥义容易施展。	9.58	6.8	skillposter/poster_skill_shuirouti.png	skillposter/poster_skill_shuirouti.png	skilltex/tex_skill_shuirouti.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
54	火药星	3	1	使用弹弓，将小块火药弹射向敌人，造成灼烧。此奥义容易施展。	9.68	6.6	skillposter/poster_skill_huoyaoxing.png	skillposter/poster_skill_huoyaoxing.png	skilltex/tex_skill_huoyaoxing.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
55	旋转之花	3	1	在敌人身上长出多只手臂，旋转着将敌人摔出。此奥义容易施展。	9.3	6.53	skillposter/poster_skill_xuanzhuanzhihua.png	skillposter/poster_skill_xuanzhuanzhihua.png	skilltex/tex_skill_xuanzhuanzhihua.png	2	s_battle	s_skilla	{mSsaEFA01:s_YaojimSsaEFA01.png}{mSsaEFA02:s_YaojimSsaEFA02.png}{mSsaEFA03:s_YaojimSsaEFA03.png}{mSsaEFA04:s_YaojimSsaEFA04.png}{mSsaEFA05:s_YaojimSsaEFA05.png}{mSsaEFA06:s_YaojimSsaEFA06.png}{mSsaEFA07:s_YaojimSsaEFA07.png}{mSsaEFB01:s_YaojimSsaEFA01.png}{mSsaEFB02:s_YaojimSsaEFA02.png}{mSsaEFB03:s_YaojimSsaEFA03.png}{mSsaEFB04:s_YaojimSsaEFA04.png}{mSsaEFB05:s_YaojimSsaEFA05.png}{mSsaEFB06:s_YaojimSsaEFA06.png}{mSsaEFB07:s_YaojimSsaEFA07.png}{mSsaEFC01:s_YaojimSsaEFA01.png}{mSsaEFC02:s_YaojimSsaEFA02.png}{mSsaEFC03:s_YaojimSsaEFA03.png}{mSsaEFC04:s_YaojimSsaEFA04.png}{mSsaEFC05:s_YaojimSsaEFA05.png}{mSsaEFC06:s_YaojimSsaEFA06.png}{mSsaEFC07:s_YaojimSsaEFA07.png}	skillc.mp3
56	冥狗	3	1	以熔岩化的左手使出的掌握攻击，用于近身战，一击可以熔穿对方身体一个洞。此奥义较难施展。	14.88	10.45	skillposter/poster_skill_minggou.png	skillposter/poster_skill_minggou.png	skilltex/tex_skill_minggou.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
57	冰球术	3	1	从口中吹出冻气将物体变成冰球。此奥义较难施展。	15.42	10.16	skillposter/poster_skill_bingqiushu.png	skillposter/poster_skill_bingqiushu.png	skilltex/tex_skill_bingqiushu.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	fightNormalAttack.mp3
58	光速踢	3	1	速度即是力量——以光速使出的踢技，威力足以毁坏一棵红树。此奥义较易施展。	11.39	8.08	skillposter/poster_skill_guangsuti.png	skillposter/poster_skill_guangsuti.png	skilltex/tex_skill_guangsuti.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
59	分裂攻击	3	1	将身体或武器分裂成多块，进行无差别的攻击。此奥义容易施展。	9.87	6.67	skillposter/poster_skill_fenliegongji.png	skillposter/poster_skill_fenliegongji.png	skilltex/tex_skill_fenliegongji.png	2	s_battle	s_skilla	{mSsaEFA01:s_lrqgmSsaEFA01.png}{mSsaEFA02:s_lrqgmSsaEFA02.png}{mSsaEFA03:s_lrqgmSsaEFA03.png}{mSsaEFA04:s_lrqgmSsaEFA04.png}{mSsaEFA05:s_lrqgmSsaEFA05.png}{mSsaEFA06:s_lrqgmSsaEFA06.png}{mSsaEFA07:s_lrqgmSsaEFA07.png}{mSsaEFB01:s_lrqgmSsaEFA01.png}{mSsaEFB02:s_lrqgmSsaEFA02.png}{mSsaEFB03:s_lrqgmSsaEFA03.png}{mSsaEFB04:s_lrqgmSsaEFA04.png}{mSsaEFB05:s_lrqgmSsaEFA05.png}{mSsaEFB06:s_lrqgmSsaEFA06.png}{mSsaEFB07:s_lrqgmSsaEFA07.png}{mSsaEFC01:s_lrqgmSsaEFA01.png}{mSsaEFC02:s_lrqgmSsaEFA02.png}{mSsaEFC03:s_lrqgmSsaEFA03.png}{mSsaEFC04:s_lrqgmSsaEFA04.png}{mSsaEFC05:s_lrqgmSsaEFA05.png}{mSsaEFC06:s_lrqgmSsaEFA06.png}{mSsaEFC07:s_lrqgmSsaEFA07.png}	skillc.mp3
60	火拳	3	1	将火炎聚集于拳上并一口气放出强大的火焰拳，且不必在意与对方的距离。此奥义容易施展。	11.5	7.8	skillposter/poster_skill_huoquan.png	skillposter/poster_skill_huoquan.png	skilltex/tex_skill_huoquan.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
61	音波攻击	3	1	利用高频音波对敌人进行攻击，轻者头晕眼花，重者会造成体内大出血。此奥义较易施展。	11.16	7.76	skillposter/poster_skill_yinbogongji.png	skillposter/poster_skill_yinbogongji.png	skilltex/tex_skill_yinbogongji.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
62	巨锤攻击	3	1	使用巨锤进行攻击，由于锤头巨大，须有足够的比例方能施展。此奥义较易施展。	10.81	7.52	skillposter/poster_skill_juchuigongji.png	skillposter/poster_skill_juchuigongji.png	skilltex/tex_skill_juchuigongji.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
63	旋转车轮	3	1	将轮子一样的武器旋转着抛出去，对敌人造成伤害。此奥义较易施展。	10.93	7.44	skillposter/poster_skill_xuanzhuanchelun.png	skillposter/poster_skill_xuanzhuanchelun.png	skilltex/tex_skill_xuanzhuanchelun.png	2	s_battle	s_skilla	{mSsaEFA01:s_YaojimSsaEFA01.png}{mSsaEFA02:s_YaojimSsaEFA02.png}{mSsaEFA03:s_YaojimSsaEFA03.png}{mSsaEFA04:s_YaojimSsaEFA04.png}{mSsaEFA05:s_YaojimSsaEFA05.png}{mSsaEFA06:s_YaojimSsaEFA06.png}{mSsaEFA07:s_YaojimSsaEFA07.png}{mSsaEFB01:s_YaojimSsaEFA01.png}{mSsaEFB02:s_YaojimSsaEFA02.png}{mSsaEFB03:s_YaojimSsaEFA03.png}{mSsaEFB04:s_YaojimSsaEFA04.png}{mSsaEFB05:s_YaojimSsaEFA05.png}{mSsaEFB06:s_YaojimSsaEFA06.png}{mSsaEFB07:s_YaojimSsaEFA07.png}{mSsaEFC01:s_YaojimSsaEFA01.png}{mSsaEFC02:s_YaojimSsaEFA02.png}{mSsaEFC03:s_YaojimSsaEFA03.png}{mSsaEFC04:s_YaojimSsaEFA04.png}{mSsaEFC05:s_YaojimSsaEFA05.png}{mSsaEFC06:s_YaojimSsaEFA06.png}{mSsaEFC07:s_YaojimSsaEFA07.png}	skillc.mp3
64	化学魔术	3	1	利用研制的各种古怪的药剂，相互之间产生反应，形成多种多样的攻击方式。此奥义较易施展。	11.27	8	skillposter/poster_skill_huaxuemoshu.png	skillposter/poster_skill_huaxuemoshu.png	skilltex/tex_skill_huaxuemoshu.png	2	s_battle	s_skilla	{mSsaEFA01:s_LyjmSsaEFA01.png}{mSsaEFA02:s_LyjmSsaEFA02.png}{mSsaEFA03:s_LyjmSsaEFA03.png}{mSsaEFA04:s_LyjmSsaEFA04.png}{mSsaEFA05:s_LyjmSsaEFA05.png}{mSsaEFA06:s_LyjmSsaEFA06.png}{mSsaEFA07:s_LyjmSsaEFA07.png}{mSsaEFB01:s_LyjmSsaEFA08.png}{mSsaEFB02:s_LyjmSsaEFA08.png}{mSsaEFB03:s_LyjmSsaEFA08.png}{mSsaEFB04:s_LyjmSsaEFA08.png}{mSsaEFB05:s_LyjmSsaEFA08.png}{mSsaEFB06:s_LyjmSsaEFA08.png}{mSsaEFB07:s_LyjmSsaEFA08.png}{mSsaEFC01:s_LyjmSsaEFA01.png}{mSsaEFC02:s_LyjmSsaEFA02.png}{mSsaEFC03:s_LyjmSsaEFA03.png}{mSsaEFC04:s_LyjmSsaEFA04.png}{mSsaEFC05:s_LyjmSsaEFA05.png}{mSsaEFC06:s_LyjmSsaEFA06.png}{mSsaEFC07:s_LyjmSsaEFA07.png}	skillck.mp3
65	镰刀旋风	3	1	将镰刀舞动的如同旋风一般密不透风，攻击敌人。此奥义较易施展。	11.04	7.44	skillposter/poster_skill_liandaoxuanfeng.png	skillposter/poster_skill_liandaoxuanfeng.png	skilltex/tex_skill_liandaoxuanfeng.png	2	s_battle	s_skilla	{mSsaEFA01:s_chuijimSsaEFA01.png}{mSsaEFA02:s_chuijimSsaEFA02.png}{mSsaEFA03:s_chuijimSsaEFA03.png}{mSsaEFA04:s_chuijimSsaEFA04.png}{mSsaEFA05:s_chuijimSsaEFA05.png}{mSsaEFA06:s_chuijimSsaEFA06.png}{mSsaEFA07:s_chuijimSsaEFA07.png}{mSsaEFB01:s_chuijimSsaEFA08.png}{mSsaEFB02:s_chuijimSsaEFA08.png}{mSsaEFB03:s_chuijimSsaEFA08.png}{mSsaEFB04:s_chuijimSsaEFA08.png}{mSsaEFB05:s_chuijimSsaEFA08.png}{mSsaEFB06:s_chuijimSsaEFA08.png}{mSsaEFB07:s_chuijimSsaEFA08.png}{mSsaEFC01:s_chuijimSsaEFA08.png}{mSsaEFC02:s_chuijimSsaEFA08.png}{mSsaEFC03:s_chuijimSsaEFA08.png}{mSsaEFC04:s_chuijimSsaEFA08.png}{mSsaEFC05:s_chuijimSsaEFA08.png}{mSsaEFC06:s_chuijimSsaEFA08.png}{mSsaEFC07:s_chuijimSsaEFA08.png}	skillc.mp3
66	天鹅舞	3	1	结合自己身体的柔韧度，像跳芭蕾一样快速而有力的攻击对方。此奥义容易施展。	9.68	6.47	skillposter/poster_skill_tianewu.png	skillposter/poster_skill_tianewu.png	skilltex/tex_skill_tianewu.png	2	s_battle	s_skilla	{mSsaEFA01:B_zhanjiB01.png}{mSsaEFA02:B_zhanjiB02.png}{mSsaEFA03:B_zhanjiB03.png}{mSsaEFA04:B_zhanjiB04.png}{mSsaEFA05:B_zhanjiB05.png}{mSsaEFA06:B_zhanjiB06.png}{mSsaEFA07:B_zhanjiB07.png}{mSsaEFB01:B_zhanjiB01.png}{mSsaEFB02:B_zhanjiB02.png}{mSsaEFB03:B_zhanjiB03.png}{mSsaEFB04:B_zhanjiB04.png}{mSsaEFB05:B_zhanjiB05.png}{mSsaEFB06:B_zhanjiB06.png}{mSsaEFB07:B_zhanjiB07.png}{mSsaEFC01:B_zhanjiB01.png}{mSsaEFC02:B_zhanjiB02.png}{mSsaEFC03:B_zhanjiB03.png}{mSsaEFC04:B_zhanjiB04.png}{mSsaEFC05:B_zhanjiB05.png}{mSsaEFC06:B_zhanjiB06.png}{mSsaEFC07:B_zhanjiB07.png}	skillc.mp3
67	利刃切割	3	1	使用锋利的武器攻击敌人，造成切割伤害。此奥义较易施展。	10.81	7.6	skillposter/poster_skill_lirenqiege.png	skillposter/poster_skill_lirenqiege.png	skilltex/tex_skill_lirenqiege.png	2	s_battle	s_skilla	{mSsaEFA01:s_lrqgmSsaEFA01.png}{mSsaEFA02:s_lrqgmSsaEFA02.png}{mSsaEFA03:s_lrqgmSsaEFA03.png}{mSsaEFA04:s_lrqgmSsaEFA04.png}{mSsaEFA05:s_lrqgmSsaEFA05.png}{mSsaEFA06:s_lrqgmSsaEFA06.png}{mSsaEFA07:s_lrqgmSsaEFA07.png}{mSsaEFB01:s_lrqgmSsaEFA01.png}{mSsaEFB02:s_lrqgmSsaEFA02.png}{mSsaEFB03:s_lrqgmSsaEFA03.png}{mSsaEFB04:s_lrqgmSsaEFA04.png}{mSsaEFB05:s_lrqgmSsaEFA05.png}{mSsaEFB06:s_lrqgmSsaEFA06.png}{mSsaEFB07:s_lrqgmSsaEFA07.png}{mSsaEFC01:s_lrqgmSsaEFA01.png}{mSsaEFC02:s_lrqgmSsaEFA02.png}{mSsaEFC03:s_lrqgmSsaEFA03.png}{mSsaEFC04:s_lrqgmSsaEFA04.png}{mSsaEFC05:s_lrqgmSsaEFA05.png}{mSsaEFC06:s_lrqgmSsaEFA06.png}{mSsaEFC07:s_lrqgmSsaEFA07.png}	skillc.mp3
